@database(
Trigger=What's up?|Info=the sky|Strength=6|Source=Memory
Trigger=Are you hungry?|Info=I don't get hungry|Strength=1|Source=Memory
Trigger=Who parked their car on my sandwich?|Info=I did!|Strength=5|Source=Memory
Trigger=Why am I so itchy?|Info=Sea Urchins|Strength=3|Source=Memory
Trigger=What are onions?|Info=I'm not sure how to explain|Strength=2|Source=Memory
Trigger=What is that smell?|Info=My fart|Strength=6|Source=Memory
Trigger=Who farted?|Info=I DID!|Strength=23|Source=Memory
Trigger=Why is what's up?|Info=The sky|Strength=1|Source=Memory
Trigger=Why won't this fax machine work?|Info=Feed it paper|Strength=2|Source=Memory
Trigger=What are onions?|Info=Some sort of vegitable?|Strength=0|Source=Memory
Trigger=Why is this sandwich so good?|Info=Because it was made by the heavy weapons guy|Strength=1|Source=Memory
Trigger=Why doesn't this program have a cls function?|Info=It does|Strength=1|Source=Memory
Trigger=What is a ball?|Info=a sphere usually used in sports|Strength=1|Source=Memory
Trigger=What is a bat?|Info=A cylinder used to hit a ball in various sports|Strength=0|Source=Memory
Trigger=What is a ball?|Info=A small sphere usually used in sports|Strength=0|Source=Memory
Trigger=What is a bed?|Info=A place where one sleeps|Strength=1|Source=Memory
Trigger=What is a mouse?|Info=Either a rodent or a interface used on computers|Strength=3|Source=Memory
Trigger=What is a bun?|Info=A slice of bread desighed for making sandwiches or hot dogs|Strength=1|Source=Memory
Trigger=What is a helicopter?|Info=An air vehicle with rotors used for upward thrust|Strength=1|Source=Memory
Trigger=What is a cat?|Info=A feline animal|Strength=1|Source=Memory
Trigger=What is a cow?|Info=Bouvine animal, well known for beef and milk|Strength=4|Source=Memory
Trigger=What is a cup?|Info=A container for drinks|Strength=1|Source=Memory
Trigger=What is a dad?|Info=A father|Strength=2|Source=Memory
Trigger=What is a day?|Info=A segment of time|Strength=0|Source=Memory
Trigger=What is a doll?|Info=A toy for children designed to look like a human, usually a baby|Strength=1|Source=Memory
Trigger=What is a dust?|Info=Microscopic particles|Strength=1|Source=Memory
Trigger=Why is bacon so delicious?|Info=Because it is|Strength=0|Source=Memory
Trigger=What is a appple?|Info=A fruit|Strength=1|Source=Memory
Trigger=What is a fan?|Info=A machine with blades used to move air|Strength=2|Source=Memory
Trigger=What is a helicopter?|Info=A air vehicle|Strength=0|Source=Memory
Trigger=What is a girl?|Info=A young human female|Strength=1|Source=Memory
Trigger=What is a cake?|Info=A delicious treat|Strength=1|Source=Memory
Trigger=What is a hall?|Info=A corridor|Strength=1|Source=Memory
Trigger=What is a hat?|Info=Headgear|Strength=1|Source=Memory
Trigger=What is a burger?|Info=A delicious type of sandwich|Strength=0|Source=Memory
Trigger=What is a jar?|Info=A container|Strength=2|Source=Memory
Trigger=What is a map?|Info=A device used to find directions|Strength=1|Source=Memory
Trigger=Why did I smell that foul odor?|Info=Because you farted|Strength=1|Source=Memory
Trigger=What is a pet?|Info=An animal kept as companion|Strength=0|Source=Memory
Trigger=What is a pie?|Info=A delicious treat|Strength=0|Source=Memory
Trigger=What is a mom?|Info=A mother|Strength=0|Source=Memory
